X,Y,aun,school_num,location_id,school_name,school_name_label,street_address,zip_code,phone_number,grade_level,grade_org,enrollment,type,type_specific,objectid
-8365616.57613125,4858105.6840532,226518902,,,ST MARYS INTERPAROCHIAL SCHOOL,ST MARYS INTERPAROCHIAL SCHOOL,440 LOCUST ST,19106,(215) 923-7522,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE,1
-8347297.4792823,4878677.04745461,226518722,,,ST MARTHA SCHOOL,ST MARTHA SCHOOL,11321 ACADEMY RD,19154,(215) 632-0320,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,2
-8353302.40148615,4877854.25242866,226514052,,,MATERNITY BVM SCHOOL,MATERNITY BVM SCHOOL,9322 OLD BUSTLETON AVE,19115,(215) 673-0235,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,3
-8346613.75652323,4877483.99563038,226514852,,,OUR LADY OF CALVARY SCHOOL,OUR LADY OF CALVARY SCHOOL,11023 KIPLING LN,19154,(215) 637-1648,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,4
-8348438.66584705,4876888.13846072,226511102,,,CHRIST THE KING SCHOOL,CHRIST THE KING SCHOOL,3205 CHESTERFIELD RD,19114,(215) 632-1375,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,5
-8366652.63432905,4857549.02347811,300511820,,,BEGINNINGS LEARNING CENTER,BEGINNINGS LEARNING CENTER,620 S 10TH ST,19147,(215) 627-3668,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE,6
-8372140.62052749,4858507.57635065,226511232,,,JUBILEE SCHOOL,JUBILEE SCHOOL,4211 CHESTER AVE,19104,(215) 387-7592,ELEMENTARY SCHOOL,PREK-6,,3,PRIVATE,7
-8372863.02586878,4860064.61935274,226514112,,,MILL CREEK SCHOOL,MILL CREEK SCHOOL,4601 MARKET ST,19139,(215) 471-4900,MIDDLE/HIGH,7-12,,3,PRIVATE,8
-8360189.41587828,4867690.32604231,226512252,,,HOLY INNOCENTS SCHOOL,HOLY INNOCENTS CATHOLIC SCHOOL,1312 E BRISTOL ST,19124,(215) 743-5909,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,9
-8366365.5154799,4866952.66982312,226510064,,,SPRING GARDEN ACADEMY - TIOGA,SPRING GARDEN ACAD - TIOGA,3501-05 N 17TH ST,19140,(215) 226-1000,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,10
-8369275.88051793,4866561.12919782,226510073,,,ST JAMES SCHOOL,ST JAMES SCHOOL,3201-29 W CLEARFIELD ST,19132,(215) 226-1276,MIDDLE SCHOOL,4-8,,3,PRIVATE,11
-8365109.21588647,4870106.53210734,226510004,,,LOGAN HOPE SCHOOL,LOGAN HOPE SCHOOL,4934 N 13TH ST,19141,(215) 455-7442,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE,12
-8372359.46804933,4877467.9535091,226515302,,,OUR MOTHER OF CONSOLATION,OUR MOTHER OF CONSOLATION SCHOOL,7-29 E CHESTNUT HILL AVE,19118,(215) 247-1060,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,13
-8369969.66445688,4874919.69598961,226512152,,,HOLY CROSS SCHOOL,HOLY CROSS SCHOOL,148-54 E MOUNT AIRY AVE,19119,(215) 242-0414,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,14
-8365457.61664862,4866471.34696543,126515001,5183,7510,"BETHUNE, MARY MCLEOD SCHOOL",MARY M. BETHUNE SCHOOL,3301 OLD YORK RD,19140,(215) 400-3890,ELEMENTARY/MIDDLE,K-8,398,1,DISTRICT,15
-8369346.96880686,4863806.38384003,126515001,3662,4220,"BLAINE, JAMES G. SCHOOL",JAMES G. BLAINE SCHOOL,3001 W BERKS ST,19121,(215) 400-7330,ELEMENTARY/MIDDLE,K-8,314,1,DISTRICT,16
-8372911.4687865,4861965.61157653,126515001,3663,1490,"BLANKENBURG, RUDOLPH SCHOOL",RUDOLPH BLANKENBURG SCHOOL,4600 W GIRARD AVE,19131,(215) 400-7280,ELEMENTARY/MIDDLE,K-8,257,1,DISTRICT,17
-8364900.30169626,4861300.5497188,126515001,7070,5150,"BODINE, WILLIAM W. HIGH SCHOOL",WILLIAM W. BODINE HIGH SCHOOL,1101 N 4TH ST,19123,(215) 400-7630,HIGH SCHOOL,9-12,491,1,DISTRICT,18
-8368632.52945067,4853533.01734725,126515001,3620,2240,"BREGY, F. AMEDEE SCHOOL",F. AMEDEE BREGY SCHOOL,1700 BIGLER ST,19145,(215) 400-8210,ELEMENTARY/MIDDLE,K-8,232,1,DISTRICT,19
-8372527.65541502,4859732.51295567,226519902,,,WEST CATHOLIC PREPARATORY HIGH SCHOOL,WEST CATHOLIC HIGH SCHOOL,4501-17 CHESTNUT ST,19139,(215) 386-2244,HIGH SCHOOL,9-12,,3,ARCHDIOCESE,20
-8368408.4640202,4855833.63979611,226519382,,,ST THOMAS AQUINAS SCHOOL,ST THOMAS AQUINAS SCHOOL,1616 S 18TH ST,19145,(215) 334-0878,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,21
-8367565.28114251,4876409.40106939,226519222,,,ST RAYMOND OF PENAFORT SCHOOL,ST RAYMOND SCHOOL,7940 WILLIAMS AVE,19150,(215) 548-1919,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,22
-8355688.52675476,4870418.11879203,226519422,,,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,3033 LEVICK ST,19149,(215) 338-9797,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,23
-8365089.40818015,4861524.81476566,226519142,,,ST PETER THE APOSTLE SCHOOL,ST PETER THE APOSTLE SCHOOL,1009 N 5TH ST,19123,(215) 922-5958,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,24
-8354524.2092162,4871966.25218498,226518932,,,ST MATTHEW SCHOOL,ST MATTHEW SCHOOL,3040 COTTMAN AVE,19149,(215) 333-3142,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,25
-8363395.08198911,4862568.12953972,226518422,,,ST LAURENTIUS SCHOOL,ST LAURENTIUS SCHOOL,1612 E BERKS ST,19125,(215) 423-8834,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,26
-8376695.49208232,4861512.83581659,226517352,,,ST FRANCES CABRINI REGIONAL CATHOLIC SCHOOL,ST FRANCES CABRINI,405 N 65TH ST,19151,(215) 748-2994,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,27
-8368836.15070328,4853394.72736829,226519242,,,ST PIO REGIONAL CATHOLIC SCHOOL,ST PIO CATHOLIC REGIONAL SCHOOL,1826 POLLOCK ST,19145,(215) 467-5430,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,28
-8346418.13567686,4879414.36258105,300513270,,,DELTA SCHOOL,DELTA SCHOOL,3515 WOODHAVEN RD,19154,(215) 637-8235,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE,29
-8372880.25784823,4877648.45070755,226514502,,,NORWOOD FONTBONNE ACADEMY,NORWOOD FONTBONNE ACADEMY,8891 GERMANTOWN AVE,19118,(215) 247-3811,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,30
-8372147.79507498,4874979.60614628,226511002,,,SPRINGSIDE CHESTNUT HILL ACADEMY,SPRINGSIDE CHESTNUT HILL ACADEMY,500 W WILLOW GROVE AVE,19118,(215) 247-4700,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE,31
-8359229.28266956,4873130.85266377,226510912,,,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,6445 BINGHAM ST,19111,(215) 725-3383,ELEMENTARY/MIDDLE,PREK-12,,3,PRIVATE,32
-8365452.90145517,4857616.14712089,226519162,,,ST PETERS SCHOOL,ST PETER'S SCHOOL,311-21 LOMBARD ST,19147,(215) 925-3963,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,33
-8367317.99182359,4862041.67209026,226518302,,,ST JOSEPH'S PREPARATORY SCHOOL,ST JOSEPH'S PREPARATORY SCHOOL,1733 W GIRARD AVE,19130,(215) 978-1950,HIGH SCHOOL,9-12,,3,PRIVATE,34
-8354194.03320157,4881520.73666871,326510160,,,RED LION ELEMENTARY SCHOOL,RED LION ELEMENTARY SCHOOL,256 GEIGER RD,19115,(215) 673-2100,ELEMENTARY SCHOOL,K-5,,3,PRIVATE,35
-8347414.91203235,4874704.53195594,226510232,,,ALPHA HOUSE NURSERY & KINDERGARTEN,ALPHA HOUSE NURSERY & KINDERGARTEN,9801 FRANKFORD AVE,19114,(215) 637-7700,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE,36
-8348275.62630858,4874467.79690954,226510026,,,ALL SAINTS EPISCOPAL SCHOOL,ALL SAINTS EPISCOPAL SCHOOL,9601 FRANKFORD AVE,19114,(215) 637-8788,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE,37
-8372489.66194076,4859474.40463992,226512762,,,ISLAMIC EDUCATION SCHOOL,ISLAMIC EDUCATION SCHOOL,4431-39 WALNUT ST,19104,(215) 387 – 5230,ELEMENTARY SCHOOL,K-8,,3,PRIVATE,38
-8352381.21642645,4874030.85788399,226518092,,,ST JEROME SCHOOL,ST JEROME SCHOOL,3031 STAMFORD ST,19136,(215) 624-0637,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,39
-8355913.49746201,4873705.2730282,226515552,,,RESURRECTION REGIONAL CATHOLIC SCHOOL,RESURRECTION REGIONAL CATHOLIC SCHOOL,2020 SHELMIRE AVE.,19152,(215) 742-1127,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,40
-8351566.36375747,4872949.27427844,226511602,,,FATHER JUDGE HIGH SCHOOL,FATHER JUDGE HIGH SCHOOL,3301 SOLLY AVE,19136,(215) 338-9494,HIGH SCHOOL,9-12,,3,ARCHDIOCESE,41
-8363247.77159425,4872389.85414027,226517902,,,ST HELENA INCARNATION REGIONAL CATHOLIC SCHOOL,ST HELENA INCARNATION SCHOOL,6101 N 5TH ST,19120,(215) 549-2947,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,42
-8375444.21808015,4862321.78878414,226519282,,,ST ROSE OF LIMA SCHOOL,ST ROSE OF LIMA SCHOOL,1508-46 N WANAMAKER ST,19131,(215) 473-6030,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,43
-8375070.25163824,4875308.15124412,226512702,,,IMMACULATE HEART OF MARY SCHOOL,IMMACULATE HEART OF MARY SCHOOL,815-23 CATHEDRAL RD,19128,(215) 482-2029,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,44
-8366114.681295,4874912.46089395,226516302,,,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,7105 LIMEKILN PIKE,19138,(215) 424-5045,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,45
-8358010.21013188,4877150.88365592,226517052,,,ST CECILIA SCHOOL,ST CECILIA SCHOOL,535 RHAWN ST,19111,(215) 725-8588,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,46
-8367837.66314249,4865296.41125895,226517252,,,ST MARTIN DE PORRES SCHOOL,ST MARTIN DE PORRES SCHOOL,2300-36 W LEHIGH AVE,19132,(215) 223-6872,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,47
-8369592.77174829,4863221.10904778,326510079,,,COMMUNITY PARTNERSHIP SCHOOL,COMMUNITY PARTNERSHIP SCHOOL,3033 W GLENWOOD AVE,19121,(215) 235-0461,ELEMENTARY SCHOOL,PREK-5,,3,PRIVATE,48
-8367257.75975918,4862122.174887,226511802,,,GESU SCHOOL,GESU SCHOOL,1700 W THOMPSON ST,19121,(215) 763-3660,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,49
-8365565.51246042,4864752.72371494,326510060,,,HOPE PARTNERSHIP FOR EDUCATION,HOPE PARTNERSHIP FOR EDUCATION,2601 N 11TH ST,19133,(215) 232-5410,MIDDLE SCHOOL,5-8,,3,PRIVATE,50
-8367597.84742882,4859612.30965789,226511652,,,FRIENDS SELECT SCHOOL,FRIENDS SELECT SCHOOL,1651 BENJAMIN FRANKLIN PKY,19103,(215) 561-5900,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE,51
-8372494.81720184,4858476.12951234,300514200,,,HMS SCHOOL FOR CHILDREN W/CEREBRAL PALSY,HMS SCHOOL FOR CHILDREN W/CEREBRAL PALSY,4400 BALTIMORE AVE,19104,(215) 222-2566,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE,52
-8369197.85312481,4858227.31787896,226515462,,,PHILADELPHIA SCHOOL,PHILADELPHIA SCHOOL,2501-29 LOMBARD ST,19146,(215) 545-5323,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,53
-8374278.06503287,4856525.94963061,300512620,,,CORNERSTONE CHRISTIAN ACADEMY,CORNERSTONE CHRISTIAN ACADEMY,1939 S 58TH ST,19143,(215) 724-6858,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE,54
-8364703.46681502,4862143.84203534,226510132,,,AL-AQSA ISLAMIC SCHOOL,AL-AQSA ISLAMIC SCHOOL,1501-11 GERMANTOWN AVE,19122,(215) 765-6660,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE,55
-8360318.50968013,4863757.33679896,226514552,,,OUR LADY OF PORT RICHMOND SCHOOL,OUR LADY OF PORT RICHMOND SCHOOL,3233 E THOMPSON ST,19134,(215) 739-1920,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,56
-8346034.85868874,4880813.71463485,226516202,,,ST ANSELM ELEMENTARY SCHOOL,ST ANSELM ELEMENTARY SCHOOL,12650 DUNKS FERRY RD,19154,(215) 632-1133,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,57
-8350078.95284637,4884044.2237953,226517152,,,ST CHRISTOPHER SCHOOL,ST CHRISTOPHER SCHOOL,13305 PROCTOR RD,19116,(215) 673-5787,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,58
-8347480.78626623,4878329.01378972,226510452,,,ARCHBISHOP RYAN HIGH SCHOOL,ARCHBISHOP RYAN HIGH SCHOOL,11201 ACADEMY RD,19154,(215) 637-1800,HIGH SCHOOL,9-12,,3,ARCHDIOCESE,59
-8368375.8784754,4854225.4379857,226519022,,,ST MONICA SENIOR SCHOOL,ST MONICA SENIOR SCHOOL,2500 S 16TH ST,19145,(215) 467-5338,ELEMENTARY/MIDDLE,5-8,,3,ARCHDIOCESE,60
-8368725.00690124,4866694.88927353,226514102,,,MERCY CAREER AND TECHNICAL HIGH SCHOOL,MERCY CAREER AND TECHNICAL HIGH SCHOOL,2900 W HUNTING PARK AVE,19129,(215) 226-1225,HIGH SCHOOL,9-12,,3,PRIVATE,61
-8366047.01802304,4861911.70697762,226518662,,,ST MALACHY SCHOOL,ST MALACHY SCHOOL,1012 W THOMPSON ST,19122,(215) 232-0696,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,62
-8358619.7780098,4870551.60220948,226518752,,,ST MARTIN OF TOURS SCHOOL,ST MARTIN OF TOURS SCHOOL,5400 E ROOSEVELT BLV,19124,(215) 744-0444,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,63
-8348175.02526309,4874652.06241218,226518332,,,ST KATHERINE SIENA SCHOOL,ST KATHERINE OF SIENA SCHOOL,9720-88 FRANKFORD AVE,19114,(215) 637-2181,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,64
-8374232.71344819,4854610.56125595,226516452,,,ST BARNABAS CATHOLIC SCHOOL,ST BARNABAS CATHOLIC SCHOOL,6334 BUIST AVE,19142,(215) 729-3603,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,65
-8350695.79635742,4872760.66697594,226517302,,,ST DOMINIC SCHOOL,ST DOMINIC SCHOOL,8510 FRANKFORD AVE,19136,(215) 333-6703,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,66
-8372950.56614196,4858356.13930752,226517552,,,ST FRANCIS DESALES SCHOOL,ST FRANCIS DESALES SCHOOL,917 S 47TH ST,19143,(215) 387-1749,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,67
-8367098.85997659,4855396.61730896,226518692,,,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,1736 S 10TH ST,19148,(215) 465-8437,HIGH SCHOOL,9-12,,3,ARCHDIOCESE,68
-8352782.74987919,4870499.8295371,226518002,,,ST HUBERTS CATHOLIC HIGH SCHOOL,ST HUBERT CATHOLIC HIGH SCHOOL FOR GIRLS,7320 TORRESDALE AVE,19136,(215) 624-6840,HIGH SCHOOL,9-12,,3,ARCHDIOCESE,69
-8363047.4478754,4864484.80727127,226519752,,,VISITATION SCHOOL,VISITATION B.V.M. SCHOOL,300-40 E LEHIGH AVE,19125,(215) 634-7280,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,70
-8361237.46021396,4863253.73098259,226514252,,,MOTHER DIVINE GRACE SCHOOL,MOTHER OF DIVINE GRACE SCHOOL,2612 E MONMOUTH ST,19134,(215) 426-7325,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,71
-8347395.07058715,4874201.04721557,226514352,,,NAZARETH ACADEMY GRADE SCHOOL,NAZARETH ACADEMY GRADE SCHOOL,4701 GRANT AVE,19114,(215) 637-7777,ELEMENTARY/MIDDLE,1-8,,3,PRIVATE,72
-8347584.5113858,4874540.52034094,226514402,,,NAZARETH ACADEMY HIGH SCHOOL,NAZARETH ACADEMY HIGH SCHOOL,4001 GRANT AVE,19114,(215) 637-7676,HIGH SCHOOL,9-12,,3,PRIVATE,73
-8375959.04496014,4854332.98029328,226511922,,,GREATER HOPE CHRISTIAN ACADEMY,GREATER HOPE CHRISTIAN ACADEMY,7029 WOODLAND AVE,19142,(215) 729-0374,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE,74
-8367107.43068069,4869883.70529483,226517602,,,DEPAUL CATHOLIC SCHOOL,DEPAUL CATHOLIC SCHOOL,44 W LOGAN ST,19144,(215) 842-1266,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,75
-8369742.75245998,4872337.31021906,226510682,,,BLAIR CHRISTIAN ACADEMY & PRESCHOOL,BLAIR CHRISTIAN ACADEMY & PRESCHOOL,212-20 W UPSAL ST,19119,(215) 438-6557,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,76
-8350888.81200668,4884813.49621661,226510732,,,CALVARY CHRISTIAN ACADEMY,CALVARY CHRISTIAN ACADEMY,13500 PHILMONT AVE,19116,(215) 969-1579,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE,77
-8360611.83245513,4871262.75769314,226512732,,,INTERNATIONAL CHRISTIAN HIGH SCHOOL,INTERNATIONAL CHRISTIAN HIGH SCHOOL,5500 TABOR AVE,19120,(267) 900-2000,HIGH SCHOOL,9-12,,3,PRIVATE,78
-8353324.02634337,4877639.26625121,300514330,,,POLITZ HEBREW ACADEMY,POLITZ HEBREW ACADEMY,9229 OLD BUSTLETON AVE,19115,(215) 969-5960,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE,79
-8364438.37434393,4862069.44377283,226510023,,,LASALLE ACADEMY,LASALLE ACADEMY,1432-36 N 2ND ST,19122,(215) 739-5804,ELEMENTARY/MIDDLE,3-8,,3,PRIVATE,80
-8372891.95093603,4861744.04195124,226515392,,,QUBA INSTITUTE OF ARABIC & ISLAMIC STUDIES,QUBA INSTITUTE OF ARABIC & ISLAMIC STUDIES,4637 LANCASTER AVE,19131,(215) 473-8589,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE,81
-8353976.88715258,4880459.37045152,226515872,,,SHAARE SHAMAYIM-BETH JUDAH KINDERGARTEN,SHAARE SHAMAYIM-BETH JUDAH KINDERGARTEN,9768 VERREE RD,19115,(215) 673-2323,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE,82
-8376481.98750136,4863839.94003268,226510020,,,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY,1993-95 N 63RD ST,19151,(215) 877-3440,ELEMENTARY SCHOOL,PREK-7,,3,PRIVATE,83
-8364246.48302705,4868653.49236892,226512672,,,HUNTING PARK CHRISTIAN ACADEMY,HUNTING PARK CHRISTIAN ACADEMY,4400 N 6TH ST,19140,(267) 331-8002,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,84
-8372895.22406661,4877092.3071289,226514122,,,CREFELD SCHOOL,CREFELD SCHOOL,8836 CREFELD ST,19118,(215) 242-5545,MIDDLE/HIGH,7-12,,3,PRIVATE,85
-8365919.77544026,4858715.66701438,126515001,7905,2670,CONSTITUTION HIGH SCHOOL,CONSTITUTION HIGH SCHOOL,18 S 7TH ST,19106,(215) 400-7850,HIGH SCHOOL,9-12,421,1,DISTRICT,86
-8361743.51591936,4865131.30389878,126515001,6525,5230,"CONWELL, RUSSELL MIDDLE SCHOOL",RUSSELL H. CONWELL SCHOOL,1849 E CLEARFIELD ST,19134,(215) 400-7210,MIDDLE SCHOOL,5-8,119,1,DISTRICT,87
-8365222.69280996,4869652.34191658,126515001,7239,7100,"COOKE, JAY ELEMENTARY SCHOOL",JAY COOKE SCHOOL,1300 W LOUDON ST,19141,(215) 400-8330,ELEMENTARY/MIDDLE,K-8,370,1,DISTRICT,88
-8371982.90279876,4869208.3868708,126515001,5122,6410,COOK-WISSAHICKON SCHOOL,COOK-WISSAHICKON SCHOOL,201 E SALAIGNAC ST,19128,(215) 400-3430,ELEMENTARY/MIDDLE,K-8,414,1,DISTRICT,89
-8363426.24672201,4866324.34350126,126515001,5123,5470,"CRAMP, WILLIAM SCHOOL",WILLIAM CRAMP SCHOOL,3449 N MASCHER ST,19140,(215) 400-3860,ELEMENTARY SCHOOL,K-5,341,1,DISTRICT,90
-8367476.76065048,4859824.98932099,,,,PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,1600 VINE ST,19102,(267) 428-2224,MIDDLE/HIGH,6-12,,2,CHARTER,91
-8368603.6296402,4870837.27110347,,,6955,HIGH ROAD SCHOOL OF PHILADELPHIA- GERMANTOWN,HIGH ROAD SCHOOL OF PHILADELPHIA- GERMANTOWN,5612 GREENE ST,19144,(267) 270-4665,MIDDLE/HIGH,6-12,,3,PRIVATE,92
-8369687.86465706,4869189.02558913,226515412,,,WILLIAM PENN CHARTER SCHOOL,WILLIAM PENN CHARTER SCHOOL,3000 W SCHOOL HOUSE LN,19144,(215) 844-3460,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE,93
-8373717.37844122,4859318.73222455,226510695,,,BEULAH BAPTIST CHRISTIAN DAY SCHOOL,BEULAH BAPTIST CHRISTIAN DAY SCHOOL,5001 SPRUCE ST,19139,(215) 747-3347,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE,94
-8358668.47121548,4868173.20896669,226511622,,,FRANKFORD FRIENDS SCHOOL,FRANKFORD FRIENDS SCHOOL,1500 ORTHODOX ST,19124,(215) 533-5368,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,95
-8368122.32833131,4872148.8141593,226512992,,,LOTUS ACADEMY,LOTUS ACADEMY,340 E HAINES ST,19144,(215) 438-7500,ELEMENTARY SCHOOL,PREK-4,,3,PRIVATE,96
-8366184.82710696,4873127.47825448,126512980,7542,3309,IMHOTEP CHARTER SCHOOL,IMHOTEP INSTITUTE CHARTER HIGH SCHOOL,6201 N 21ST ST,19138,(215) 438-4140,HIGH SCHOOL,9-12,597,2,CHARTER,97
-8367775.42914981,4857944.17033707,126513510,7683,3341,INDEPENDENCE CHARTER SCHOOL,INDEPENDENCE CHARTER SCHOOL,1600 LOMBARD ST,19146,(215) 238-8000,ELEMENTARY/MIDDLE,K-8,803,2,CHARTER,98
-8374042.3706904,4856813.06610237,126512039,,3442,INDEPENDENCE CHARTER WEST,INDEPENDENCE CHARTER SCHOOL WEST,5600 CHESTER AVE,19143,(215) 724-5600,ELEMENTARY/MIDDLE,K-8,823,2,CHARTER,99
-8372581.16851947,4862309.24820994,126513070,,3308,INQUIRY CHARTER SCHOOL,INQUIRY CHARTER SCHOOL,1301 BELMONT AVE,19104,(215) 386-5768,ELEMENTARY SCHOOL,K-5,271,2,CHARTER,100
